Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
NEW MEDIA INVESTMENT GROUP,1600,1000,720,720,590,1300,880,880,720,2400,1000,1300,1900,1300,1000,880,4400,1000,880,880,880,720,1600,880
RUDOLPH TECHNOLOGIES,880,1000,1000,880,880,880,880,720,880,880,720,880,1300,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300
CAREER EDUCATION,720,720,590,720,590,590,720,880,720,590,480,720,720,880,720,880,480,880,590,590,480,480,480,590
ALTRA INDUSTRIAL MOTION,720,720,720,720,720,880,590,1000,1300,720,720,880,880,880,720,880,720,880,880,1000,1000,720,880,1000
COHERUS BIOSCIENCES,480,480,390,720,590,720,590,590,1300,1300,720,880,880,1300,1000,880,880,1000,880,1000,1000,880,880,1000
INSTALLED BUILDING PRODUCTS,2400,1300,1000,1000,1000,1000,1000,1000,1000,880,880,1000,1000,1600,1300,1300,1300,1600,1300,1300,1300,1000,1000,1300
IRIDIUM COMMUNICATIONS,720,880,590,880,720,880,880,880,880,1000,720,720,880,720,880,880,720,720,880,720,1000,1000,1000,880
DOUGLAS DYNAMICS,1000,1000,1000,720,720,720,880,880,1000,1900,1300,1300,1300,1300,1000,1000,880,880,1000,1000,1300,1300,1000,1900
ARCHROCK,50,40,50,20,50,70,30,70,70,70,90,70,90,110,70,90,1000,720,260,170,390,3600,2900,3600
GIBRALTAR INDUSTRIES,1000,880,1000,1300,1000,1000,880,880,880,720,720,880,880,1300,1000,880,1300,1000,1000,1000,1300,1000,880,1000
CNA FINANCIAL,1000,880,880,1000,720,880,880,1000,1000,1000,720,1000,1000,880,1000,880,880,880,1000,1300,1000,1300,880,1000
ARCBEST,10,0,170,1900,1000,720,880,1000,1300,1000,880,1300,1300,1300,1600,1000,1000,1000,1000,1300,1300,1300,1300,1300
ACCELERON PHARMA,880,1000,880,880,880,720,720,880,880,720,880,880,720,1000,1000,1000,1000,880,880,880,1000,880,880,1000
INVESTMENT TECHNOLOGY GROUP,880,720,720,590,590,590,590,720,590,480,480,720,720,1000,720,590,590,720,1300,720,720,880,590,880
PHIBRO ANIMAL HEALTH,390,1000,1000,480,390,480,390,590,480,590,590,590,880,720,720,720,880,590,720,720,720,720,590,1000
BUILDERS FIRSTSOURCE,590,720,720,720,590,720,480,590,880,720,720,880,880,1000,2400,1000,1000,1300,1000,880,880,880,720,880
THERAVANCE BIOPHARMA,210,260,260,390,1300,1000,1300,1300,1300,1300,1000,880,1000,1000,880,880,1000,880,1000,1000,1000,880,720,1000
PDF SOLUTIONS,590,590,720,590,480,590,590,720,720,720,590,720,720,720,720,590,720,880,590,590,720,590,590,720
